bts;nearest;distance
Nicola;Santa Lucia SRT;2231.4288152586637
Santa Lucia SRT;Nicola;2231.4288152586637
Torano Foce Carrara;Santa Lucia SRT;2898.428315686772
Castel dellAquila;Amelia;8153.026280162255
Terni Rivo;Colle Secozza Terni;5701.722661184095
Ampezzo;Villa Santina;9201.834466128856
Campitello Fiuggi;Colle Cisino;3684.6959261693537
Segni;Colleferro;3544.7490247488954
Monte Capua;Monte Lungo Alatri;3482.7925630493573
Capannaccio;Anagni;5198.354284780162
Anagni;Campitello Fiuggi;5144.530402038292
Forte Montagnolo;Posatora;442.2818280235105
Posatora;Forte Montagnolo;442.2818280235105
Cima Roda;Paganella;758.3021256175583
Molveno;Cima Roda;3497.031868847209
Baldissero Torinese;Andezeno;3876.5061441675944
Andezeno;Baldissero Torinese;3876.5061441675944
Arpulla;Andora Molino Nuovo;1960.9977011588915
Andora Molino Nuovo;Arpulla;1960.9977011588915
Palabarzana;Poffabro;4082.427429864072
Croce Sassello;Treviso Bresciano;5450.533811407385
Treviso Bresciano;Idro;3253.4637433912785
Annone Veneto;Pramaggiore;3593.396995515202
Portogruaro;Cordovado;6998.242172428351
Villotta;Villotta Industriale;3379.5142583199618
Torgnon;Chatillon;6494.563055929871
Oricola;Pereto;4177.092665619212
Anticoli Corrado;Saracinesco Alto;2817.862557877919
Calcariola Castello;Cesalunga;3245.2006627391847
Rocca di Antrodoco;Cesalunga;9714.458870873092
Antrona;La Piana;6580.166288417967
Anzio;Anzio Nord;6730.1769346932815
Aprilia;Anzio Nord;4856.674408500089
Anzio Nord;Aprilia;4856.674408500089
Gerdaz;Aosta Centro;4271.586815253995
Blavy;Dialley;3984.4080688638437
Champleval;Aymavilles;2546.6690229297637
Torre di Nus;Fenis;2671.6922170845546
Aosta Centro;Pleod Oveillan;4212.834983805142
Pleod Oveillan;Aymavilles;2500.39136104596
Aymavilles;Pleod Oveillan;2500.39136104596
Saint Christophe;Aosta Centro;4846.023196742709
Serravalle di Carda;Monte Nerone;2996.3992977954977
Aiale;Scheggia Calvario;2045.1241822537759
Apecchio;Serravalle di Carda;4846.596823622779
Macerata Centro;Macerata Cimitero;2276.4931378150486
Pian de Conti;Monte Acuto MC;5582.956113443539
San Severino Marche;Colle Tolentino;7570.543245494442
Appignano;Filottrano Paese;7929.127725580643
Aprica Palabione;Piscedo;2200.4582661841246
Monte Secco;Velletri San Raffaele;3073.219838975415
Monte Gentile;Monte Calvarone;2329.316027565748
Monte Calvarone;Monte Gentile;2329.316027565748
Monte Cavo Basso;Monte Gentile;3076.7205311631096
Aquila d'Arroscia;Borghetto dArroscia;2807.8295854031016
San Bernardo;Borghetto dArroscia;2060.8717810050166
Arcevia Palazzo;Arcevia Cimitero S.Pietro;3887.010760279923
Croce del Termine;Corinaldo ZI;5694.460269485017
Arcevia;Santo Stefano Cimitero;2546.75241140093
Rocca dArce;Fontana Liri;3097.738205301264
Castro dei Volsci;Vallefratta;157.03647112029262
Vallefratta;Castro dei Volsci;157.03647112029262
Colfelice;Rocca dArce;4227.625765509051
Aquino;Piedimonte;5488.349347122147
Montelaterone;Arcidosso;3350.526165507768
Arcidosso;Arcidosso Piamperugino;1544.714380081749
Arcidosso Piamperugino;Arcidosso;1544.714380081749
Roiate;Arcinazzo Romano;3458.161184239917
Guadagnolo;San Gregorio Di Sassola;4263.364887268119
Arcinazzo Romano;Roiate;3458.161184239917
Arcinazzo;Monte Scalambra;5475.822228256293
Arcisate;Induno Olona;2609.010982231434
Saltrio ;Monte Orsa;2228.080247509705
Monte Orsa;Saltrio ;2228.080247509705
Sighignola;Orimento;4165.288539404888
Monte Bisbino;Moltrasio;2858.116059696461
Tranci;Madrignano;1688.8408008273027
Podenzana;Bolano;3763.229574323133
Madrignano;Tranci;1688.8408008273027
Campocecina;Torano Foce Carrara;6335.977754811421
Piano di Arcola Terna;Vezzano;2650.633943056253
Sarzana Centro;Sarzana Paghezzana;2202.815065376161
